repo_id,full_name,html_url,description,language,stargazers_count,forks_count,pushed_at,owner_login,owner_avatar_url,starred_at
621803253,FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,"Build AI Agents, Visually",TypeScript,38306,19922,2025-05-16T18:05:44Z,FlowiseAI,https://avatars.githubusercontent.com/u/128289781?v=4,2025-05-15T21:46:00Z
782597014,picahq/pica,https://github.com/picahq/pica,The Complete Agentic Tooling Platform,Rust,906,54,2025-05-16T16:29:12Z,picahq,https://avatars.githubusercontent.com/u/63831834?v=4,2025-05-13T06:11:06Z
979392131,ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.,TypeScript,1837,123,2025-05-16T19:14:49Z,ag-ui-protocol,https://avatars.githubusercontent.com/u/209775067?v=4,2025-05-12T15:56:32Z
736272311,pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat,Open Source framework for voice and multimodal conversational AI,Python,6117,858,2025-05-16T21:40:57Z,pipecat-ai,https://avatars.githubusercontent.com/u/169612734?v=4,2025-05-09T15:07:07Z
970890722,NovaSky-AI/SkyRL,https://github.com/NovaSky-AI/SkyRL,SkyRL-v0: Train Real-World Long-Horizon Agents via Reinforcement Learning,Python,277,21,2025-05-15T23:28:32Z,NovaSky-AI,https://avatars.githubusercontent.com/u/194174999?v=4,2025-05-08T11:52:49Z
821360765,latitude-dev/latitude-llm,https://github.com/latitude-dev/latitude-llm,"Latitude is the open-source prompt engineering platform to build, evaluate, and refine your prompts with AI",TypeScript,2230,135,2025-05-16T16:45:23Z,latitude-dev,https://avatars.githubusercontent.com/u/98949449?v=4,2025-05-07T11:32:38Z
609957061,elevenlabs/elevenlabs-docs,https://github.com/elevenlabs/elevenlabs-docs,Documentation for elevenlabs.io/docs,MDX,177,366,2025-05-16T17:16:28Z,elevenlabs,https://avatars.githubusercontent.com/u/94471909?v=4,2025-05-07T10:32:30Z
912559512,simstudioai/sim,https://github.com/simstudioai/sim,"Sim Studio is an open-source AI agent workflow builder. Sim Studio's interface is a lightweight, intuitive way to quickly build and deploy LLMs that connect with your favorite tools.",TypeScript,3336,539,2025-05-16T17:55:09Z,simstudioai,https://avatars.githubusercontent.com/u/199344406?v=4,2025-05-07T00:24:59Z
955904085,antiwork/flexile,https://github.com/antiwork/flexile,Equity for everyone.,Ruby,507,104,2025-05-16T22:54:23Z,antiwork,https://avatars.githubusercontent.com/u/1178890?v=4,2025-04-27T17:06:50Z
957269680,EvanZhouDev/llm.pdf,https://github.com/EvanZhouDev/llm.pdf,Run LLMs inside a PDF file.,Python,567,33,2025-04-14T02:53:12Z,EvanZhouDev,https://avatars.githubusercontent.com/u/62189478?v=4,2025-04-27T06:11:24Z
138393139,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",,169343,10593,2024-11-19T14:00:38Z,trimstray,https://avatars.githubusercontent.com/u/31127917?v=4,2025-04-25T22:37:00Z
823738767,ibelick/motion-primitives,https://github.com/ibelick/motion-primitives,"UI kit to make beautiful, animated interfaces, faster. Customizable. Open Source.",TypeScript,4426,164,2025-05-08T21:35:16Z,ibelick,https://avatars.githubusercontent.com/u/14288396?v=4,2025-04-25T10:28:09Z
959063625,ibelick/zola,https://github.com/ibelick/zola,"The open-source AI chat app for developers. Multi-model, agent-ready.",TypeScript,691,95,2025-05-16T15:47:49Z,ibelick,https://avatars.githubusercontent.com/u/14288396?v=4,2025-04-25T10:27:31Z
949662713,opencode-ai/opencode,https://github.com/opencode-ai/opencode,,Go,2484,167,2025-05-16T08:42:56Z,opencode-ai,https://avatars.githubusercontent.com/u/208539476?v=4,2025-04-25T02:15:38Z
888092115,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,Python,57266,2926,2025-04-13T16:31:40Z,microsoft,https://avatars.githubusercontent.com/u/6154722?v=4,2025-04-23T09:43:31Z
969010919,nari-labs/dia,https://github.com/nari-labs/dia,A TTS model capable of generating ultra-realistic dialogue in one pass.,Python,15690,1232,2025-05-15T13:56:55Z,nari-labs,https://avatars.githubusercontent.com/u/208232306?v=4,2025-04-22T22:09:08Z
572570113,triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev,Trigger.dev – open source background jobs and AI infrastructure,TypeScript,11187,708,2025-05-16T21:54:44Z,triggerdotdev,https://avatars.githubusercontent.com/u/95297378?v=4,2025-04-22T00:11:41Z
895291604,exa-labs/exa-mcp-server,https://github.com/exa-labs/exa-mcp-server,Claude can perform Web Search | Exa with MCP (Model Context Protocol),TypeScript,1578,135,2025-05-16T15:37:16Z,exa-labs,https://avatars.githubusercontent.com/u/77906174?v=4,2025-04-21T12:30:17Z
520708737,fauxpilot/fauxpilot,https://github.com/fauxpilot/fauxpilot,FauxPilot - an open-source alternative to GitHub Copilot server,Python,14703,630,2024-04-09T08:42:23Z,fauxpilot,https://avatars.githubusercontent.com/u/120729571?v=4,2025-04-21T06:05:26Z
847231566,a-ghorbani/pocketpal-ai,https://github.com/a-ghorbani/pocketpal-ai,An app that brings language models directly to your phone.,TypeScript,3522,335,2025-05-16T05:27:41Z,a-ghorbani,https://avatars.githubusercontent.com/u/11278140?v=4,2025-04-19T22:16:37Z
965415649,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,TypeScript,22662,2249,2025-05-16T23:23:00Z,openai,https://avatars.githubusercontent.com/u/14957082?v=4,2025-04-16T22:55:46Z
942837343,eyaltoledano/claude-task-master,https://github.com/eyaltoledano/claude-task-master,"An AI-powered task-management system you can drop into Cursor, Lovable, Windsurf, Roo, and others.",JavaScript,9196,957,2025-05-16T22:17:37Z,eyaltoledano,https://avatars.githubusercontent.com/u/3160046?v=4,2025-04-16T12:23:38Z
157616880,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,93744,3513,2025-05-16T23:01:20Z,iptv-org,https://avatars.githubusercontent.com/u/55937028?v=4,2025-04-11T18:24:47Z
764287615,supermemoryai/supermemory,https://github.com/supermemoryai/supermemory,Build your own second brain with supermemory. It's a ChatGPT for your bookmarks. Import tweets or save websites and content using the chrome extension.,TypeScript,9543,916,2025-04-10T18:22:19Z,supermemoryai,https://avatars.githubusercontent.com/u/171979587?v=4,2025-04-10T05:44:56Z
958830659,google/adk-python,https://github.com/google/adk-python,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",Python,8762,914,2025-05-16T23:49:48Z,google,https://avatars.githubusercontent.com/u/1342004?v=4,2025-04-10T01:05:08Z
895508656,microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,10 Lessons to Get Started Building AI Agents,Jupyter Notebook,20905,5384,2025-05-16T14:54:28Z,microsoft,https://avatars.githubusercontent.com/u/6154722?v=4,2025-04-09T13:54:13Z
798201435,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",Python,43227,3999,2025-05-16T13:59:26Z,unclecode,https://avatars.githubusercontent.com/u/12494079?v=4,2025-04-08T23:48:30Z
881506708,RooVetGit/Roo-Code,https://github.com/RooVetGit/Roo-Code,Roo Code (prev. Roo Cline) gives you a whole dev team of AI agents in your code editor.,TypeScript,13843,1381,2025-05-16T23:53:25Z,RooVetGit,https://avatars.githubusercontent.com/u/82245679?v=4,2025-04-07T00:40:30Z
959682770,antiwork/gumroad,https://github.com/antiwork/gumroad,,Ruby,5799,843,2025-05-16T21:47:19Z,antiwork,https://avatars.githubusercontent.com/u/1178890?v=4,2025-04-04T18:51:45Z
615928156,enricoros/big-AGI,https://github.com/enricoros/big-AGI,"AI suite powered by state-of-the-art models and providing advanced AI/AGI functions. It features AI personas, AGI functions, multi-model chats, text-to-image, voice, response streaming, code highlighting and execution, PDF import, presets for developers, much more. Deploy on-prem or in the cloud.",TypeScript,6412,1485,2025-05-14T23:19:05Z,enricoros,https://avatars.githubusercontent.com/u/32999?v=4,2025-04-04T02:21:52Z
231283452,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,TypeScript,99813,9741,2025-05-16T15:45:13Z,excalidraw,https://avatars.githubusercontent.com/u/59452120?v=4,2025-04-03T15:22:29Z
946281616,aws/nova-act,https://github.com/aws/nova-act,Amazon Nova Act is a research preview of a new AI model for developers to build agents that take actions in web browsers,Python,656,90,2025-05-08T19:48:09Z,aws,https://avatars.githubusercontent.com/u/2232217?v=4,2025-04-01T17:23:16Z
776908852,browserbase/stagehand,https://github.com/browserbase/stagehand,An AI web browsing framework focused on simplicity and extensibility.,TypeScript,11858,651,2025-05-16T23:32:01Z,browserbase,https://avatars.githubusercontent.com/u/158221360?v=4,2025-04-01T17:13:32Z
951971916,sentient-agi/OpenDeepSearch,https://github.com/sentient-agi/OpenDeepSearch,,Python,3331,278,2025-04-04T18:20:24Z,sentient-agi,https://avatars.githubusercontent.com/u/175796272?v=4,2025-03-31T21:52:09Z
896335270,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,,49458,3681,2025-05-15T22:57:01Z,punkpeye,https://avatars.githubusercontent.com/u/108313943?v=4,2025-03-31T08:40:28Z
956421280,Intelligent-Internet/ii-researcher,https://github.com/Intelligent-Internet/ii-researcher,II-Researcher: a new open-source framework designed to aid building search / research agents,Python,250,28,2025-05-09T08:11:51Z,Intelligent-Internet,https://avatars.githubusercontent.com/u/173073912?v=4,2025-03-30T15:45:03Z
943398999,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"FULL v0, Cursor, Manus, Same.dev, Lovable, Devin, Replit Agent, Windsurf Agent, VSCode Agent, Dia Browser & Trae AI (And other Open Sourced) System Prompts, Tools & AI Models.",,47522,14563,2025-05-15T18:26:58Z,x1xhlol,https://avatars.githubusercontent.com/u/185671340?v=4,2025-03-30T10:18:46Z
766341786,HeyPuter/puter,https://github.com/HeyPuter/puter,"🌐 The Internet OS! Free, Open-Source, and Self-Hostable.",JavaScript,30662,2309,2025-05-16T21:19:52Z,HeyPuter,https://avatars.githubusercontent.com/u/103972607?v=4,2025-03-30T00:15:57Z
